Organism Name,Organism Groups,Strain,BioSample,BioProject,Size(Mb),GC%,Type,Replicons,CDS,Release Date,Genes
"(Cyprinus carpio 'mirror' x Cyprinus carpio 'singuonensis') x Carassius auratus red var.","Eukaryota;Animals;Fishes","","","PRJNA353408",0.016581,43.3207,"mitochondrion","NC_031807.1/KU146531.1",13,"2016-11-14T00:00:00Z",37
"Aacanthocnema dobsoni","Eukaryota;Animals;Insects","","","PRJNA483618",0.015179,21.9382,"mitochondrion","NC_038132.1/MG989216.1",13,"2018-07-31T00:00:00Z",37
"Abacion magnum","Eukaryota;Animals;Other Animals","","","PRJNA214390",0.01516,33.4037,"mitochondrion","NC_021932.1/JX437062.1",13,"2013-08-06T00:00:00Z",35
"Abalistes stellaris","Eukaryota;Animals;Fishes","","","PRJNA33735",0.016502,44.4189,"mitochondrion","NC_011943.1/AP009202.1",13,"2009-01-22T00:00:00Z",13
"Abax parallelepipedus","Eukaryota;Animals;Insects","","","PRJNA328640",0.017701,20.7446,"mitochondrion","NC_030592.1/KT876877.1",13,"2016-07-12T00:00:00Z",37
"Abbottina obtusirostris","Eukaryota;Animals;Fishes","","","PRJNA281841",0.016599,44.0629,"mitochondrion","NC_026900.1/KP727758.1",13,"2015-04-22T00:00:00Z",37
"Abbottina rivularis","Eukaryota;Animals;Fishes","","","PRJNA241204",0.016597,44.2911,"mitochondrion","NC_023781.1/KF577979.1",13,"2014-03-13T00:00:00Z",13
"Abelia chinensis","Eukaryota;Plants;Land Plants","","","PRJNA579669",0.157225,38.3762,"chloroplast","NC_045043.1/MN384463.1",79,"2019-10-29T00:00:00Z",128
"Abelia sanguinea","Eukaryota;Plants;Land Plants","","","PRJNA591512",0.156842,38.505,"chloroplast","NC_045193.1/MK033544.1",82,"2019-11-25T00:00:00Z",129
"Abelia x grandiflora","Eukaryota;Plants;Land Plants","","","PRJNA579689",0.157107,38.4057,"chloroplast","NC_045054.1/MN524635.1",76,"2019-10-29T00:00:00Z",128
"Abeliophyllum distichum","Eukaryota;Plants;Land Plants","","","PRJNA348078",0.155982,37.8185,"chloroplast","NC_031445.1/KT274029.1",87,"2016-10-13T00:00:00Z",133
"Abelmoschus esculentus","Eukaryota;Plants;Land Plants","","","PRJNA394355",0.163121,36.7365,"chloroplast","NC_035234.1/KY635876.1",87,"2017-07-14T00:00:00Z",131
"Abidama producta","Eukaryota;Animals;Insects","","","PRJNA70039",0.015277,22.6484,"mitochondrion","NC_015799.1/GQ337955.1",13,"2011-07-14T00:00:00Z",13
"Abies balsamea","Eukaryota;Plants;Land Plants","","","PRJNA550691",0.121574,38.2483,"chloroplast","NC_042778.1/MH706725.1",74,"2019-06-25T00:00:00Z",113
"Abies beshanzuensis","Eukaryota;Plants;Land Plants","","","PRJNA608373",0.121399,38.2565,"chloroplast","NC_045884.1/MH476330.1",74,"2020-02-24T00:00:00Z",113
"Abies chensiensis","Eukaryota;Plants;Land Plants","","","PRJNA532145",0.121329,38.258,"chloroplast","NC_041464.1/MH796673.1",74,"2019-04-10T00:00:00Z",120
"Abies concolor","Eukaryota;Plants;Land Plants","","","PRJNA496181",0.120427,38.3369,"plastid","NC_039581.1/MH612853.1",71,"2018-11-06T00:00:00Z",113
"Abies fanjingshanensis","Eukaryota;Plants;Land Plants","","","PRJNA550938",0.120057,38.2976,"chloroplast","NC_042777.1/MH706717.1",74,"2019-06-25T00:00:00Z",113
"Abies fargesii","Eukaryota;Plants;Land Plants","","","PRJNA550686",0.121799,38.2704,"chloroplast","NC_042775.1/MH706716.1",74,"2019-06-25T00:00:00Z",113
"Abies kawakamii","Eukaryota;Plants;Land Plants","","","PRJNA550902",0.12129,38.2529,"chloroplast","NC_042776.1/MH706726.1",74,"2019-06-25T00:00:00Z",113
"Abies koreana","Eukaryota;Plants;Land Plants","","","PRJNA281852",0.121373,38.2499,"chloroplast","NC_026892.1/KP742350.1",74,"2015-04-22T00:00:00Z",113
"Abies religiosa","Eukaryota;Plants;Land Plants","","","PRJNA496173",0.119423,38.3611,"plastid","NC_039582.1/MH612854.1",65,"2018-11-06T00:00:00Z",65
