Organism Name,Organism Groups,Strain,BioSample,BioProject,Size(Mb),GC%,Replicons,CDS,Neighbors,Release Date,Genes
"Absiella argi","Bacteria;Terrabacteria group;Firmicutes","JCM 30884","SAMD00172297","PRJDB8336",0.00473,34.4397,"pABar1:NZ_AP019696.1/AP019696.1",6,0,"2020-03-01T00:00:00Z",6
"Acaryochloris marina MBIC11017","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","MBIC11017","SAMN02604308","PRJNA12997",0.374161,47.3483,"pREB1:NC_009926.1/CP000838.1",284,0,"2007-10-17T00:00:00Z",325
"Acaryochloris marina MBIC11017","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","MBIC11017","SAMN02604308","PRJNA12997",0.356087,45.3367,"pREB2:NC_009927.1/CP000839.1",320,0,"2007-10-17T00:00:00Z",357
"Acaryochloris marina MBIC11017","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","MBIC11017","SAMN02604308","PRJNA12997",0.273121,45.1902,"pREB3:NC_009928.1/CP000840.1",241,0,"2007-10-17T00:00:00Z",292
"Acaryochloris marina MBIC11017","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","MBIC11017","SAMN02604308","PRJNA12997",0.22668,45.877,"pREB4:NC_009929.1/CP000841.1",199,0,"2007-10-17T00:00:00Z",222
"Acaryochloris marina MBIC11017","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","MBIC11017","SAMN02604308","PRJNA12997",0.177162,44.6755,"pREB5:NC_009930.1/CP000842.1",174,0,"2007-10-17T00:00:00Z",178
"Acaryochloris marina MBIC11017","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","MBIC11017","SAMN02604308","PRJNA12997",0.172728,47.1267,"pREB6:NC_009931.1/CP000843.1",137,0,"2007-10-17T00:00:00Z",166
"Acaryochloris marina MBIC11017","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","MBIC11017","SAMN02604308","PRJNA12997",0.15511,45.5909,"pREB7:NC_009932.1/CP000844.1",123,0,"2007-10-17T00:00:00Z",135
"Acaryochloris marina MBIC11017","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","MBIC11017","SAMN02604308","PRJNA12997",0.120693,45.4185,"pREB8:NC_009933.1/CP000845.1",100,0,"2007-10-17T00:00:00Z",110
"Acaryochloris marina MBIC11017","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","MBIC11017","SAMN02604308","PRJNA12997",0.002133,42.5223,"pREB9:NC_009934.1/CP000846.1",1,0,"2007-10-17T00:00:00Z",2
"Acetobacter aceti","Bacteria;Proteobacteria;Alphaproteobacteria","","","PRJNA187804",0.005123,55.8657,"pAC5:NC_001275.1/AF110140.1",2,0,"1999-12-27T00:00:00Z",2
"Acetobacter aceti","Bacteria;Proteobacteria;Alphaproteobacteria","","","PRJNA187804",0.002953,56.3495,"pAG20:NC_022074.1/KC871566.1",1,0,"2013-08-15T00:00:00Z",1
"Acetobacter ascendens","Bacteria;Proteobacteria;Alphaproteobacteria","LMG 1590","SAMN04605654","PRJNA317327",0.04938,51.132,"unnamed1:NZ_CP015165.1/CP015165.1",40,0,"2016-10-17T00:00:00Z",51
"Acetobacter ascendens","Bacteria;Proteobacteria;Alphaproteobacteria","LMG 1590","SAMN04605654","PRJNA317327",0.046811,56.1641,"unnamed2:NZ_CP015166.1/CP015166.1",40,0,"2016-10-17T00:00:00Z",45
"Acetobacter ascendens","Bacteria;Proteobacteria;Alphaproteobacteria","LMG 1590","SAMN04605654","PRJNA317327",0.043148,59.3052,"unnamed3:NZ_CP015167.1/CP015167.1",44,0,"2016-10-17T00:00:00Z",48
